,???,????? ,?????,?????,?? ,??????,????? 
08-07R1CP73,1404,08-07,8,2,R1,CP73,23.4
08-09R1CP73,1404,08-09,8,2,R1,CP73,23.32
08-11R2CP73,1404,08-11,8,2,R2,CP73,23.63
08-13R2CP73,1404,08-13,8,2,R2,CP73,23.74
08-15PCP69,1404,08-15,8,2,P,CP69,23.35
08-17R4CP69,1404,08-17,8,2,R4,CP69,22.75
08-19PCP73,1404,08-19,8,2,P,CP73,23.32
08-25PCP69,1404,08-25,8,2,P,CP69,23.27
08-29PCP69,1404,08-29,8,2,P,CP69,23.35
08-31R4CP69,1404,08-31,8,2,R4,CP69,20.92
09-02R4CP69,1404,09-02,9,1,R4,CP69,24.48
09-04R4CP69,1404,09-04,9,1,R4,CP69,23.68
09-06R1CP48,1404,09-06,9,1,R1,CP48,23.72
09-08R1CP48,1404,09-08,9,1,R1,CP48,23.45
09-10PCP73,1404,09-10,9,1,P,CP73,23.84
09-14R2CP73,1404,09-14,9,1,R2,CP73,24.11
09-16R4CP73,1404,09-16,9,1,R4,CP73,22.82
09-18R4CP69,1404,09-18,9,1,R4,CP69,23.21
09-20PCP57,1404,09-20,9,1,P,CP57,23.73
09-22R2CP73,1404,09-22,9,1,R2,CP73,23.74
09-30R1CP69,1404,09-30,9,1,R1,CP69,13.79
09-32R2CP69,1404,09-32,9,1,R2,CP69,14.28
10-01R1CP48,1404,10-01,10,2,R1,CP48,24.14
10-03R1CP48,1404,10-03,10,2,R1,CP48,23.35
10-05R2CP73,1404,10-05,10,2,R2,CP73,24.11
10-07R1CP73,1404,10-07,10,2,R1,CP73,23.68
10-09R2CP73,1404,10-09,10,2,R2,CP73,23.9
10-11R2CP73,1404,10-11,10,2,R2,CP73,23.87
10-13R1CP73,1404,10-13,10,2,R1,CP73,23.34
10-15PCP69,1404,10-15,10,2,P,CP69,23.6
10-17R5CP69,1404,10-17,10,2,R5,CP69,22.7
10-19R5CP69,1404,10-19,10,2,R5,CP69,23.8
10-21R5CP69,1404,10-21,10,2,R5,CP69,23.6
10-23R1CP69,1404,10-23,10,2,R1,CP69,23.53
10-25R1CP69,1404,10-25,10,2,R1,CP69,23.33
10-27R1CP69,1404,10-27,10,2,R1,CP69,23.52
10-29R2CP69,1404,10-29,10,2,R2,CP69,23.49
10-31R1CP69,1404,10-31,10,2,R1,CP69,7.26
11-02R4CP69,1404,11-02,11,1,R4,CP69,23.37
11-04R4CP69,1404,11-04,11,1,R4,CP69,23.13
11-06R5CP69,1404,11-06,11,1,R5,CP69,23
11-12PCP73,1404,11-12,11,1,P,CP73,22.84
11-14PCP73,1404,11-14,11,1,P,CP73,22.81
11-16R1CP69,1404,11-16,11,1,R1,CP69,22.53
11-18R2CP69,1404,11-18,11,1,R2,CP69,22.21
11-20R2CP57,1404,11-20,11,1,R2,CP57,22.9
11-22R3CP73,1404,11-22,11,1,R3,CP73,22.99
11-26R3CP69,1404,11-26,11,1,R3,CP69,22.89
11-28R2CP69,1404,11-28,11,1,R2,CP69,20.48
11-30R6CP69,1404,11-30,11,1,R6,CP69,9.52
12-01PCP69,1404,12-01,12,2,P,CP69,15.99
12-02R2CP48,1404,12-02,12,2,R2,CP48,23.93
12-04R2CP48,1404,12-04,12,2,R2,CP48,23.43
12-06R2CP73,1404,12-06,12,2,R2,CP73,23.52
12-08R2CP73,1404,12-08,12,2,R2,CP73,23.42
12-10R1CP73,1404,12-10,12,2,R1,CP73,23.45
12-12R1CP73,1404,12-12,12,2,R1,CP73,23.44
12-13R1CP69,1404,12-13,12,2,R1,CP69,22.86
12-14R1CP73,1404,12-14,12,2,R1,CP73,23.54
12-15R5CP69,1404,12-15,12,2,R5,CP69,20.1
12-17R1CP69,1404,12-17,12,2,R1,CP69,22.49
12-18R5CP69,1404,12-18,12,2,R5,CP69,22.91
12-19R1CP73,1404,12-19,12,2,R1,CP73,23.34
12-21R2CP69,1404,12-21,12,2,R2,CP69,23.42
12-22PCP69,1404,12-22,12,2,P,CP69,23.77
12-24PCP69,1404,12-24,12,2,P,CP69,23.51
12-25PCP69,1404,12-25,12,2,P,CP69,23.45
12-26R1CP69,1404,12-26,12,2,R1,CP69,23.47
12-27PCP65,1404,12-27,12,2,P,CP65,24.53
12-28PCP69,1404,12-28,12,2,P,CP69,23.75
12-30PCP69,1404,12-30,12,2,P,CP69,14.5
13-02R1CP69,1404,13-02,13,1,R1,CP69,23.57
13-04R4CP69,1404,13-04,13,1,R4,CP69,23.06
13-06R6CP69,1404,13-06,13,1,R6,CP69,12.79
13-06R4CP69,1404,13-06,13,1,R4,CP69,10
13-08R6CP69,1404,13-08,13,1,R6,CP69,12.73
13-08R4CP69,1404,13-08,13,1,R4,CP69,10
13-10R6CP69,1404,13-10,13,1,R6,CP69,22.65
13-14R6CP69,1404,13-14,13,1,R6,CP69,22.93
13-16R1CP69,1404,13-16,13,1,R1,CP69,22.65
13-18R2CP69,1404,13-18,13,1,R2,CP69,22.21
13-20R1CP69,1404,13-20,13,1,R1,CP69,22.71
13-22R2CP73,1404,13-22,13,1,R2,CP73,22.79
13-28R6CP69,1404,13-28,13,1,R6,CP69,15.19
14-01R1CP48,1404,14-01,14,4,R1,CP48,24
14-02R5CP69,1404,14-02,14,4,R5,CP69,24.21
14-03R2CP48,1404,14-03,14,4,R2,CP48,23.5
14-04R5CP69,1404,14-04,14,4,R5,CP69,23.48
14-05R2CP48,1404,14-05,14,4,R2,CP48,23.54
14-06R5CP69,1404,14-06,14,4,R5,CP69,23.4
14-07R2CP57,1404,14-07,14,4,R2,CP57,23.79
14-09R2CP73,1404,14-09,14,4,R2,CP73,23.62
14-10R5CP69,1404,14-10,14,4,R5,CP69,23.82
14-11R2CP73,1404,14-11,14,4,R2,CP73,23.77
14-12R5CP69,1404,14-12,14,4,R5,CP69,23.52
14-13R2CP73,1404,14-13,14,4,R2,CP73,23.97
14-15R5CP69,1404,14-15,14,4,R5,CP69,22.37
14-16R5CP69,1404,14-16,14,4,R5,CP69,22.38
14-18PCP65,1404,14-18,14,4,P,CP65,22.72
14-19PCP73,1404,14-19,14,4,P,CP73,23.47
14-21PIR01-412,1404,14-21,14,4,P,IR01-412,23.51
14-23R1CP69,1404,14-23,14,4,R1,CP69,23.5
14-24PCP69,1404,14-24,14,4,P,CP69,23.58
14-25R1CP69,1404,14-25,14,4,R1,CP69,23.55
14-27R1CP69,1404,14-27,14,4,R1,CP69,18.76
14-28PCP69,1404,14-28,14,4,P,CP69,19.62
15-01R2CP69,1404,15-01,15,3,R2,CP69,24.17
15-02PCP69,1404,15-02,15,3,P,CP69,24.42
15-03R2CP69,1404,15-03,15,3,R2,CP69,23.61
15-04PCP69,1404,15-04,15,3,P,CP69,23.6
15-05R2CP69,1404,15-05,15,3,R2,CP69,23.51
15-06R2CP48,1404,15-06,15,3,R2,CP48,23.57
15-07R2CP48,1404,15-07,15,3,R2,CP48,23.58
15-08R1CP65,1404,15-08,15,3,R1,CP65,23.7
15-09R2CP73,1404,15-09,15,3,R2,CP73,18.1
15-10R1CP73,1404,15-10,15,3,R1,CP73,23.39
15-11R2CP73,1404,15-11,15,3,R2,CP73,23.28
15-12PCP73,1404,15-12,15,3,P,CP73,23.6
15-15R4CP69,1404,15-15,15,3,R4,CP69,23.27
15-16R3CP69,1404,15-16,15,3,R3,CP69,23.3
15-17R3CP69,1404,15-17,15,3,R3,CP69,22.17
15-18R3CP69,1404,15-18,15,3,R3,CP69,23.11
15-19R3CP73,1404,15-19,15,3,R3,CP73,23.62
15-20R3CP73,1404,15-20,15,3,R3,CP73,23.43
15-22PCP57,1404,15-22,15,3,P,CP57,23.77
15-24R4CP73,1404,15-24,15,3,R4,CP73,23.64
15-25R4CP69,1404,15-25,15,3,R4,CP69,23.33
15-26R3CP69,1404,15-26,15,3,R3,CP69,23.57
15-27R8CP69,1404,15-27,15,3,R8,CP69,15.52
15-28R3CP69,1404,15-28,15,3,R3,CP69,16.31
16-01PCP48,1404,16-01,16,4,P,CP48,24.01
16-02R2CP48,1404,16-02,16,4,R2,CP48,23.81
16-03R1CP48,1404,16-03,16,4,R1,CP48,23.37
16-04R1CP48,1404,16-04,16,4,R1,CP48,23.61
16-05R1CP48,1404,16-05,16,4,R1,CP48,23.64
16-06R2CP48,1404,16-06,16,4,R2,CP48,23.46
16-07R1CP57,1404,16-07,16,4,R1,CP57,23.56
16-08R2CP57,1404,16-08,16,4,R2,CP57,23.93
16-09R1CP73,1404,16-09,16,4,R1,CP73,23.41
16-10R2CP73,1404,16-10,16,4,R2,CP73,23.39
16-11R1CP73,1404,16-11,16,4,R1,CP73,23.49
16-12R2CP73,1404,16-12,16,4,R2,CP73,23.52
16-13PCP73,1404,16-13,16,4,P,CP73,23.48
16-14R2CP73,1404,16-14,16,4,R2,CP73,23.69
16-15R4CP69,1404,16-15,16,4,R4,CP69,22.35
16-16R4CP69,1404,16-16,16,4,R4,CP69,16
16-16R9CP69,1404,16-16,16,4,R9,CP69,3.66
16-16R5CP69,1404,16-16,16,4,R5,CP69,2.82
16-18R1CP69,1404,16-18,16,4,R1,CP69,22.42
16-19R2CP73,1404,16-19,16,4,R2,CP73,20
16-19R2CP69,1404,16-19,16,4,R2,CP69,3.74
16-20R1CP73,1404,16-20,16,4,R1,CP73,23.6
16-22R1CP69,1404,16-22,16,4,R1,CP69,23.37
16-24R3CP69,1404,16-24,16,4,R3,CP69,23.49
16-25PCP69,1404,16-25,16,4,P,CP69,23.42
16-26R3CP69,1404,16-26,16,4,R3,CP69,23.49
16-27PCP69,1404,16-27,16,4,P,CP69,21.6
16-28R2CP69,1404,16-28,16,4,R2,CP69,19.97
17-02Pcp69,1404,17-02,17,3,P,cp69,24.13
17-03R2CP69,1404,17-03,17,3,R2,CP69,23.28
17-05R1CP48,1404,17-05,17,3,R1,CP48,23.54
17-06R1CP48,1404,17-06,17,3,R1,CP48,23.64
17-07R1CP48,1404,17-07,17,3,R1,CP48,23.79
17-08R1CP48,1404,17-08,17,3,R1,CP48,23.97
17-09Pcp73,1404,17-09,17,3,P,cp73,23.09
17-10R2CP73,1404,17-10,17,3,R2,CP73,22.47
17-11R3CP73,1404,17-11,17,3,R3,CP73,23.65
17-12R2CP73,1404,17-12,17,3,R2,CP73,23.16
17-13R3CP73,1404,17-13,17,3,R3,CP73,22.71
17-14R2CP73,1404,17-14,17,3,R2,CP73,23.51
17-17R2CP69,1404,17-17,17,3,R2,CP69,22.68
17-18R5CP69,1404,17-18,17,3,R5,CP69,22.8
17-19R2CP73,1404,17-19,17,3,R2,CP73,22.79
17-21R2CP73,1404,17-21,17,3,R2,CP73,16
17-21R2CP65,1404,17-21,17,3,R2,CP65,6
17-21R2CP70,1404,17-21,17,3,R2,CP70,1.88
17-23R4CP73,1404,17-23,17,3,R4,CP73,23.44
17-24R5CP48,1404,17-24,17,3,R5,CP48,15.41
17-24R4CP48,1404,17-24,17,3,R4,CP48,7.5
17-25R2CP69,1404,17-25,17,3,R2,CP69,23.33
17-26R1CP69,1404,17-26,17,3,R1,CP69,24.1
17-27R2CP69,1404,17-27,17,3,R2,CP69,22.33
17-28R5CP73,1404,17-28,17,3,R5,CP73,23.88
18-01R1CP48,1404,18-01,18,4,R1,CP48,23.73
18-02R5CP73,1404,18-02,18,4,R5,CP73,23.9
18-03R1CP48,1404,18-03,18,4,R1,CP48,23.94
18-04R5CP73,1404,18-04,18,4,R5,CP73,23.61
18-05R1CP48,1404,18-05,18,4,R1,CP48,23.04
18-06R2CP48,1404,18-06,18,4,R2,CP48,23.65
18-07R1CP57,1404,18-07,18,4,R1,CP57,23.5
18-08R2CP73,1404,18-08,18,4,R2,CP73,23.58
18-09R1CP73,1404,18-09,18,4,R1,CP73,23.44
18-10R2CP73,1404,18-10,18,4,R2,CP73,23.51
18-11R1CP73,1404,18-11,18,4,R1,CP73,23.46
18-12R2CP73,1404,18-12,18,4,R2,CP73,23.63
18-13R1CP73,1404,18-13,18,4,R1,CP73,23.74
