,???,????? ,?????,?????,?? ,??????,????? 
,1402,02-17,2,2,R1,CP69,22.47
,1402,02-19,2,2,R2,CP69,24.59
,1402,02-21,2,2,R2,CP69,25.07
,1402,02-23,2,2,R2,CP69,24.56
,1402,02-25,2,2,R2,CP69,24.96
,1402,02-27,2,2,R2,CP69,24.94
,1402,02-29,2,2,R2,CP69,25.01
,1402,02-31,2,2,R2,CP69,24.45
,1402,02-33,2,2,R1,CP69,24.87
,1402,02-35,2,2,R1,CP69,24.89
,1402,02-37,2,2,R1,CP69,16.76
,1402,02-39,2,2,R1,CP69,14.71
,1402,03-08,3,1,R2,CP69,7.00
,1402,03-08,3,1,R10,CP69,15.47
,1402,03-10,3,1,P,CP69,23.50
,1402,03-12,3,1,R2,CP69,23.38
,1402,03-14,3,1,R2,CP69,23.08
,1402,03-16,3,1,P,CP69,23.21
,1402,03-18,3,1,R2,CP69,22.47
,1402,03-20,3,1,R2,CP69,23.61
,1402,03-22,3,1,R1,CP69,23.11
,1402,03-24,3,1,R2,CP69,23.28
,1402,03-26,3,1,R2,CP69,23.00
,1402,03-28,3,1,R1,CP69,23.84
,1402,03-30,3,1,R10,CP69,22.79
,1402,03-32,3,1,R10,CP69,22.73
,1402,04-03,4,2,P,CP48,23.36
,1402,04-05,4,2,P,CP57,23.59
,1402,04-09,4,2,R2,CP73,23.45
,1402,04-11,4,2,R2,CP69,13.82
,1402,04-11,4,2,R3,CP69,9.78
,1402,04-13,4,2,R4,CP69,23.23
,1402,04-15,4,2,R2,CP69,16.51
,1402,04-15,4,2,R3,CP69,5.33
,1402,04-17,4,2,R2,CP69,23.10
,1402,04-19,4,2,R2,CP69,23.82
,1402,04-21,4,2,R2,CP69,9.36
,1402,04-23,4,2,R2,CP69,8.06
,1402,04-25,4,2,R2,CP69,7.21
,1402,04-27,4,2,R2,CP69,7.99
,1402,04-29,4,2,R2,CP69,12.36
,1402,04-31,4,2,R2,CP69,11.24
,1402,04-33,4,2,R2,CP69,13.90
,1402,04-35,4,2,R2,CP69,14.64
,1402,04-37,4,2,R2,CP69,10.16
,1402,05-01,5,1,R1,CP69,24.58
,1402,05-02,5,1,R1,CP69,22.67
,1402,05-03,5,1,P,CP69,24.11
,1402,05-04,5,1,R4,CP69,23.24
,1402,05-05,5,1,P,CP69,22.67
,1402,05-10,5,1,P,CP73,23.96
,1402,05-12,5,1,P,CP73,23.35
,1402,05-13,5,1,P,CP73,23.34
,1402,05-15,5,1,R2,CP73,22.72
,1402,05-16,5,1,R3,CP73,23.24
,1402,05-18,5,1,P,CP69,22.62
,1402,05-19,5,1,R2,IRC,22.89
,1402,05-22,5,1,R4,CP73,23.09
,1402,05-23,5,1,P,CP73,23.15
,1402,05-25,5,1,P,CP69,23.57
,1402,05-26,5,1,R4,CP69,23.28
,1402,05-28,5,1,R1,CP69,22.21
,1402,05-29,5,1,R2,CP69,20.03
,1402,05-29,5,1,R3,CP57,2.78
,1402,05-31,5,1,R3,CP73,11.44
,1402,05-31,5,1,R2,CP69,11.55
,1402,06-01,6,2,P,CP69,23.68
,1402,06-02,6,2,P,CP69,23.94
,1402,06-06,6,2,P,CP73,23.55
,1402,06-08,6,2,P,CP73,23.44
,1402,06-10,6,2,R3,CP69,23.40
,1402,06-12,6,2,P,CP73,23.15
,1402,06-14,6,2,R1,CP73,15.77
,1402,06-14,6,2,R3,IRC,8.08
,1402,06-15,6,2,R2,CP69,22.27
,1402,06-16,6,2,R1,CP69,22.81
,1402,06-20,6,2,R1,CP69,16.91
,1402,07-04,7,1,R2,CP69,23.54
,1402,07-06,7,1,P,CP48,23.32
,1402,07-08,7,1,P,CP48,23.25
,1402,07-10,7,1,R2,CP73,22.98
,1402,07-14,7,1,P,CP73,23.44
,1402,07-16,7,1,R3,CP69,1.60
,1402,07-16,7,1,R2,CP69,10.07
,1402,07-18,7,1,R3,CP69,1.18
,1402,07-18,7,1,R2,CP69,9.67
,1402,07-20,7,1,P,CP57,23.14
,1402,07-22,7,1,R3,CP69,9.25
,1402,07-22,7,1,R4,CP69,1.77
,1402,07-22,7,1,R5,CP69,0.41
,1402,07-22,7,1,R6,CP73,11.57
,1402,07-24,7,1,R2,CP69,11.00
,1402,07-32,7,1,R1,CP69,19.74
,1402,08-01,8,2,P,CP48,23.71
,1402,08-11,8,2,P,CP73,23.63
,1402,08-13,8,2,P,CP73,23.74
,1402,08-15,8,2,R2,CP69,22.40
,1402,08-17,8,2,R2,CP69,22.75
,1402,08-19,8,2,R2,CP57,1.45
,1402,08-19,8,2,R2,CP69,21.94
,1402,08-21,8,2,R2,CP69,23.76
,1402,08-23,8,2,R3,CP69,3.05
,1402,08-23,8,2,R2,CP69,20.45
,1402,08-25,8,2,R2,CP69,23.43
,1402,08-27,8,2,R2,CP69,23.56
,1402,08-29,8,2,R3,CP69,23.49
,1402,08-31,8,2,R2,CP69,20.92
,1402,09-02,9,1,R2,CP69,24.48
,1402,09-04,9,1,R2,CP69,23.68
,1402,09-10,9,1,R4,CP69,23.48
,1402,09-12,9,1,R4,CP69,23.25
,1402,09-14,9,1,P,CP73,24.11
,1402,09-16,9,1,R2,CP73,22.82
,1402,09-18,9,1,R2,CP69,23.21
,1402,09-20,9,1,R4,CP69,23.58
,1402,09-22,9,1,P,CP73,23.74
,1402,09-24,9,1,R2,CP69,23.77
,1402,09-26,9,1,R4,CP69,23.60
,1402,09-28,9,1,R4,CP69,22.39
,1402,09-32,9,1,P,CP69,14.28
,1402,10-05,10,2,P,CP73,24.11
,1402,10-09,10,2,P,CP73,23.90
,1402,10-11,10,2,P,CP73,23.87
,1402,10-15,10,2,R3,CP69,22.70
,1402,10-17,10,2,R3,CP69,22.70
,1402,10-19,10,2,R3,CP69,23.80
,1402,10-21,10,2,R3,CP69,23.60
,1402,10-29,10,2,P,CP69,23.49
,1402,11-02,11,1,R2,CP69,23.37
,1402,11-04,11,1,R2,CP69,23.13
,1402,11-06,11,1,R3,CP69,23.00
,1402,11-08,11,1,R3,CP69,8.68
,1402,11-08,11,1,R4,CP69,14.50
,1402,11-10,11,1,R3,CP48,2.77
,1402,11-10,11,1,R2,CP73,19.67
,1402,11-12,11,1,R3,IRC,11.06
,1402,11-12,11,1,R2,IRC,11.80
,1402,11-14,11,1,R2,CP73,22.95
,1402,11-18,11,1,P,CP69,22.21
,1402,11-20,11,1,P,CP57,22.90
,1402,11-22,11,1,R1,CP73,22.99
,1402,11-24,11,1,R1,CP73,22.82
,1402,11-26,11,1,R1,CP69,22.89
,1402,11-28,11,1,P,CP69,20.48
,1402,11-30,11,1,R4,CP69,9.52
,1402,12-02,12,2,P,CP48,23.93
,1402,12-04,12,2,P,CP48,23.43
,1402,12-06,12,2,P,CP73,23.52
,1402,12-08,12,2,P,CP73,23.42
,1402,12-15,12,2,R3,CP69,20.10
,1402,12-16,12,2,R3,CP69,22.20
,1402,12-18,12,2,R3,CP69,22.91
,1402,12-20,12,2,R3,CP69,23.50
,1402,12-21,12,2,P,CP69,23.42
,1402,12-22,12,2,R3,CP69,23.46
,1402,12-23,12,2,R3,CP69,10.49
,1402,12-23,12,2,R2,CP69,13.17
,1402,12-24,12,2,R3,CP69,23.41
,1402,12-25,12,2,R3,CP69,23.46
,1402,12-27,12,2,R3,CP69,3.69
,1402,12-27,12,2,R2,CP69,20.92
,1402,12-28,12,2,R2,CP69,9.07
,1402,12-28,12,2,R3,CP69,14.63
,1402,12-30,12,2,R3,CP69,14.40
,1402,13-04,13,1,R2,CP69,23.06
,1402,13-06,13,1,R2,CP69,10.00
,1402,13-06,13,1,R4,CP69,12.79
,1402,13-08,13,1,R2,CP69,10.00
,1402,13-08,13,1,R4,CP69,12.73
,1402,13-10,13,1,R4,CP69,22.65
,1402,13-12,13,1,R5,CP69,22.83
,1402,13-14,13,1,R4,CP69,22.93
,1402,13-18,13,1,P,CP69,22.21
,1402,13-22,13,1,P,CP73,22.79
,1402,13-24,13,1,R4,CP69,22.60
,1402,13-26,13,1,R5,CP69,22.91
,1402,13-28,13,1,R4,CP69,15.19
,1402,14-02,14,4,R3,CP69,24.21
,1402,14-03,14,4,P,CP48,23.50
,1402,14-04,14,4,R3,CP69,23.48
,1402,14-05,14,4,P,CP48,23.54
,1402,14-06,14,4,R3,CP69,23.40
,1402,14-07,14,4,P,CP57,23.79
,1402,14-08,14,4,R2,CP73,23.74
,1402,14-09,14,4,P,CP73,23.62
,1402,14-10,14,4,R3,CP69,23.82
,1402,14-11,14,4,P,CP73,23.77
,1402,14-12,14,4,R3,CP69,23.52
,1402,14-13,14,4,P,CP73,23.97
,1402,14-14,14,4,R3,CP69,23.80
,1402,14-15,14,4,R3,CP69,22.37
,1402,14-16,14,4,R3,CP69,22.38
,1402,14-17,14,4,R2,CP69,11.50
,1402,14-17,14,4,R3,CP69,10.98
,1402,14-18,14,4,R2,CP73,22.66
,1402,14-19,14,4,R2,CP69,23.39
,1402,14-20,14,4,R2,CP69,23.47
,1402,14-21,14,4,R3,CP69,23.55
,1402,14-22,14,4,R3,CP69,23.82
,1402,14-24,14,4,R3,CP69,23.57
,1402,14-26,14,4,R2,CP69,12.29
,1402,14-26,14,4,R3,CP69,10.61
,1402,14-28,14,4,R2,CP69,19.70
,1402,15-01,15,3,P,CP69,24.17
,1402,15-02,15,3,R3,CP69,24.56
,1402,15-03,15,3,P,CP69,23.61
,1402,15-04,15,3,R3,CP69,23.60
,1402,15-05,15,3,P,CP69,23.51
,1402,15-06,15,3,P,CP48,23.57
,1402,15-07,15,3,P,CP48,23.58
,1402,15-09,15,3,P,CP73,18.10
,1402,15-11,15,3,P,CP73,23.28
,1402,15-12,15,3,R2,CP73,13.86
,1402,15-12,15,3,R3,CP73,9.64
,1402,15-13,15,3,R2,CP73,23.45
,1402,15-14,15,3,R3,CP73,23.76
,1402,15-15,15,3,R2,CP69,23.27
,1402,15-16,15,3,R1,CP69,23.30
,1402,15-17,15,3,R1,CP69,22.17
,1402,15-18,15,3,R1,CP69,23.11
,1402,15-19,15,3,R1,CP73,23.62
,1402,15-20,15,3,R1,CP73,23.43
,1402,15-21,15,3,R2,CP73,23.65
,1402,15-22,15,3,R2,CP57,23.58
,1402,15-23,15,3,R2,CP73,23.88
,1402,15-24,15,3,R2,CP73,23.64
,1402,15-25,15,3,R2,CP69,23.33
,1402,15-26,15,3,R1,CP69,23.57
,1402,15-27,15,3,R6,CP69,15.52
,1402,15-28,15,3,R1,CP69,16.31
,1402,16-01,16,4,R3,CP73,24.10
,1402,16-02,16,4,P,CP48,23.81
,1402,16-06,16,4,P,CP48,23.46
,1402,16-08,16,4,P,CP57,23.93
,1402,16-10,16,4,P,CP73,23.39
,1402,16-12,16,4,P,CP73,23.52
,1402,16-13,16,4,R3,CP48,23.61
,1402,16-14,16,4,P,CP73,23.69
,1402,16-15,16,4,R2,CP69,22.35
,1402,16-16,16,4,R2,CP69,16.00
,1402,16-16,16,4,R3,CP69,2.82
,1402,16-16,16,4,R7,CP69,3.66
,1402,16-17,16,4,R2,CP69,23.05
,1402,16-19,16,4,P,CP73,20.00
,1402,16-19,16,4,P,CP69,3.74
,1402,16-21,16,4,R2,CP69,23.82
,1402,16-23,16,4,R2,CP69,23.60
,1402,16-24,16,4,R1,CP69,23.49
,1402,16-25,16,4,R3,CP69,23.60
,1402,16-26,16,4,R1,CP69,23.49
,1402,16-27,16,4,R3,CP69,22.12
,1402,16-28,16,4,P,CP69,19.97
,1402,17-02,17,3,R3,CP73,18.20
,1402,17-03,17,3,P,CP69,23.28
,1402,17-04,17,3,R3,CP73,23.61
,1402,17-09,17,3,R3,CP73,23.50
,1402,17-10,17,3,P,CP73,22.47
,1402,17-11,17,3,R1,CP73,23.65
,1402,17-12,17,3,P,CP73,23.16
,1402,17-13,17,3,R1,CP73,22.71
,1402,17-14,17,3,P,CP73,23.51
,1402,17-15,17,3,R3,CP69,23.10
,1402,17-16,17,3,R2,CP69,18.67
,1402,17-16,17,3,R3,CP69,4.78
,1402,17-17,17,3,P,CP69,22.68
,1402,17-18,17,3,R3,CP69,22.80
,1402,17-19,17,3,P,CP73,22.79
,1402,17-20,17,3,R3,CP73,23.34
,1402,17-21,17,3,P,CP65,6.00
,1402,17-21,17,3,P,CP70,1.88
,1402,17-21,17,3,P,CP73,16.00
,1402,17-22,17,3,R3,CP73,23.45
,1402,17-23,17,3,R2,CP73,23.44
,1402,17-24,17,3,R2,CP48,7.50
,1402,17-24,17,3,R3,CP48,15.41
,1402,17-25,17,3,P,CP69,23.33
,1402,17-27,17,3,P,CP69,22.33
,1402,17-28,17,3,R3,CP73,23.88
,1402,18-02,18,4,R3,CP73,23.90
,1402,18-04,18,4,R3,CP73,23.61
,1402,18-06,18,4,P,CP48,23.65
,1402,18-08,18,4,P,CP73,23.58
,1402,18-10,18,4,P,CP73,23.51
,1402,18-12,18,4,P,CP73,23.63
,1402,18-14,18,4,P,CP73,23.59
,1402,18-15,18,4,R3,CP69,22.28
,1402,18-17,18,4,R3,CP69,22.87
,1402,18-18,18,4,P,CP69,22.42
,1402,18-20,18,4,R3,CP69,23.53
,1402,18-22,18,4,R3,CP69,23.60
,1402,18-24,18,4,R3,CP69,23.55
,1402,18-26,18,4,R3,CP69,23.56
,1402,18-28,18,4,P,CP69,22.59
,1402,19-01,19,3,P,CP69,24.18
,1402,19-02,19,3,R3,CP69,24.25
,1402,19-03,19,3,R2,CP69,17.31
,1402,19-04,19,3,R3,CP69,23.43
,1402,19-06,19,3,P,CP48,23.54
,1402,19-08,19,3,P,CP48,23.24
,1402,19-09,19,3,R2,CP69,18.43
,1402,19-09,19,3,R3,CP69,4.83
,1402,19-10,19,3,P,CP73,23.49
,1402,19-11,19,3,R2,CP69,17.58
,1402,19-11,19,3,R3,CP69,6.03
,1402,19-12,19,3,P,CP73,23.05
,1402,19-13,19,3,R2,CP69,11.58
,1402,19-14,19,3,P,CP73,23.81
,1402,19-16,19,3,R3,CP73,22.98
,1402,19-17,19,3,P,CP69,22.91
,1402,19-18,19,3,R3,CP73,22.54
,1402,19-22,19,3,R3,CP73,12.45
,1402,19-23,19,3,R2,CP73,23.61
,1402,19-24,19,3,R2,CP69,8.47
,1402,19-24,19,3,R3,CP73,4.75
,1402,19-25,19,3,R2,CP69,23.05
,1402,19-26,19,3,R2,CP69,12.02
,1402,19-26,19,3,R3,CP73,2.45
,1402,19-27,19,3,R2,CP69,10.75
,1402,20-01,20,4,R3,CP69,24.19
,1402,20-03,20,4,R3,CP69,23.50
,1402,20-05,20,4,R3,CP69,23.66
,1402,20-07,20,4,R3,CP69,23.35
,1402,20-10,20,4,P,CP73,23.65
,1402,20-12,20,4,P,CP73,23.70
,1402,20-13,20,4,R3,IRC,16.07
,1402,20-14,20,4,P,CP69,23.58
,1402,20-15,20,4,R3,CP69,12.92
,1402,20-16,20,4,R3,CP69,22.20
,1402,20-17,20,4,R3,CP69,11.00
,1402,20-18,20,4,R3,CP69,22.03
,1402,20-19,20,4,R3,CP69,9.70
,1402,20-20,20,4,P,CP69,23.40
,1402,20-21,20,4,R3,CP69,7.36
,1402,20-22,20,4,P,CP69,23.58
,1402,20-23,20,4,R3,CP69,7.91
,1402,20-25,20,4,R3,CP69,3.50
,1402,20-26,20,4,R3,CP69,23.62
,1402,20-28,20,4,R1,CP69,23.71
,1402,21-01,21,3,P,CP69,24.12
,1402,21-02,21,3,R3,CP69,24.47
,1402,21-03,21,3,P,CP69,25.33
,1402,21-04,21,3,R2,CP69,18.25
,1402,21-04,21,3,R3,CP69,5.24
,1402,21-07,21,3,P,CP48,23.78
,1402,21-09,21,3,P,CP73,22.93
,1402,21-10,21,3,P,CP73,22.61
,1402,21-11,21,3,R2,CP69,14.82
,1402,21-11,21,3,R3,CP69,8.42
,1402,21-12,21,3,R3,CP73,1.06
,1402,21-12,21,3,R2,CP69,21.94
,1402,21-13,21,3,P,CP73,23.71
,1402,21-14,21,3,P,CP73,23.49
,1402,21-15,21,3,R2,CP69,23.01
,1402,21-17,21,3,R2,CP69,11.79
,1402,22-09,22,4,R3,CP69,8.91
,1402,22-11,22,4,R2,CP69,8.66
,1402,22-13,22,4,R2,CP69,8.68
,1402,22-15,22,4,R2,CP69,8.35
,1402,22-17,22,4,R2,CP69,7.93
,1402,22-19,22,4,R2,CP69,7.01
,1402,22-21,22,4,R2,IRC,7.60
,1402,22-21,22,4,R2,CP69,0.10
,1402,23-01,23,3,R3,CP69,13.26
,1402,23-03,23,3,R3,CP69,15.53
,1402,23-05,23,3,P,CP69,14.68
,1402,23-07,23,3,R3,CP69,22.59
,1402,23-09,23,3,R3,CP69,23.24
,1402,23-11,23,3,R3,CP69,22.16
,1402,23-13,23,3,P,CP69,11.78
,1402,23-15,23,3,P,CP69,2.92
,1402,24-01,24,4,R3,CP69,26.67
,1402,24-02,24,4,R3,CP69,20.44
,1402,24-03,24,4,R3,CP69,27.40
,1402,24-04,24,4,R3,CP69,19.02
,1402,24-05,24,4,R3,CP69,27.10
,1402,24-06,24,4,R3,CP69,19.90
,1402,24-07,24,4,R1,CP69,18.21
,1402,24-07,24,4,R3,CP69,8.24
,1402,24-09,24,4,R3,CP69,27.40
,1402,24-11,24,4,R1,CP69,24.39
,1402,24-11,24,4,R3,CP69,2.88
,1402,24-13,24,4,R1,CP69,20.81
,1402,24-13,24,4,R3,CP69,6.24
,1402,24-14,24,4,R3,CP69,24.25
,1402,24-15,24,4,P,CP69,27.04
,1402,24-17,24,4,R3,CP69,27.00
,1402,24-19,24,4,R3,CP69,27.25
,1402,25-05,25,3,R2,CP69,21.82
,1402,25-07,25,3,R2,CP69,22.89
,1402,25-09,25,3,R1,CP69,26.03
,1402,25-11,25,3,R1,CP69,28.29
,1402,25-13,25,3,R2,CP69,30.70
,1402,25-15,25,3,R2,CP69,19.25
,1402,26-03,26,4,R3,CP69,17.07
,1402,26-04,26,4,R2,CP69,24.78
,1402,26-05,26,4,R3,CP69,17.51
,1402,26-06,26,4,R2,CP69,24.50
,1402,26-07,26,4,R3,CP69,17.40
,1402,26-08,26,4,R3,CP69,24.75
,1402,26-09,26,4,P,CP69,17.27
,1402,26-10,26,4,R3,CP69,24.88
,1402,26-11,26,4,P,CP69,17.07
,1402,26-12,26,4,R3,CP69,24.90
,1402,26-13,26,4,P,CP69,16.98
,1402,26-14,26,4,R3,CP69,24.50
,1402,26-16,26,4,R3,CP69,24.98
,1402,26-18,26,4,R2,CP69,24.29
,1402,26-20,26,4,R2,CP69,11.03
,1402,26-20,26,4,R3,CP69,13.82
,1402,26-22,26,4,R3,CP69,20.09
,1402,27-01,27,3,R3,CP69,31.95
,1402,27-02,27,3,R3,CP69,24.98
,1402,27-04,27,3,R3,CP69,24.20
,1402,27-06,27,3,R3,CP69,25.40
,1402,27-08,27,3,R3,CP69,19.20
,1402,29-04,29,3,R3,CP69,20.13
,1402,30-01,30,4,R3,CP69,22.56
